Bound,VarJ,VarDiscRet,AvgNormIw,MaxNormIw,MinNormIw,Delta,BatchSize,VarVanillaIw,AvgRet,VarRet,ESSClassic,AvgDiscRet,EpsThisIter,VanillaAvgRet,ESSRenyi,J,AvgVanillaIw,eRenyi2,IterType,AvgEpLen,VarNormIw,MaxVanillaIw,MinVanillaIw
1071.4722,1817.5167,83958.67826312238,0.01,0.45891553,1.6581998e-14,0.85,100,203.89124,148.23435896617477,83958.67826312238,3.1216482901093245,148.23435896617477,100,148.23435896617477,3.7756676380069436,1456.2212,2.5503247,26.485382,1,15.83,0.0031347838,117.03836,4.228948e-12
-44689.543,784.48157,549383.1666434449,0.01,0.38613617,1.3952262e-14,0.85,200,1.0165415e+21,148.23435896617477,83958.67826312238,3.5925647250046495,542.6022365453176,100,148.23435896617477,0.004354265415439018,324.07336,6123887000.0,45931.973,,15.83,0.002710633,236465420000.0,0.008544208
1207.7454,2089.159,7721.132111545987,0.005000001,0.60207397,5.482172e-24,0.85,200,239.88582,95.64293128037274,7721.132111545987,2.293493012152132,95.64293128037274,100,95.64293128037274,4.46512223668994,1561.5453,1.663995,44.791607,1,10.57,0.0021659103,200.36961,1.8244613e-21
605.6754,1180.6711,1408065.0749821847,0.009999998,0.01,0.01,0.85,200,,815.7172424474347,1408065.0749821847,100.0,815.7172424474347,100,815.7172424474347,200.0,815.7172,1.0,1.0,2,82.54,3.5044917e-18,1.0,1.0
-inf,5487.833,1085581.5601328055,0.005,0.710182,6.4665472e-24,0.85,300,inf,95.64293128037274,7721.132111545987,,699.1193168745189,100,95.64293128037274,nan,840.3245,3.858919e+18,nan,,10.57,0.00267898,5.48107e+20,0.0049907765
3370.9014,6651.85,260921.63690539516,0.0033333334,0.9094264,4.5959e-40,0.85,300,417.06235,156.1382727323739,260921.63690539516,1.2080741020702543,156.1382727323739,100,156.1382727323739,2.9471064631866892,4594.331,1.2963964,101.79476,1,16.61,0.0027572925,353.6931,1.7874325e-37
445.17044,805.6274,655591.4790210137,0.009999998,0.01,0.01,0.85,300,,655.2107893687362,655591.4790210137,100.0,655.2107893687362,100,655.2107893687362,300.0,655.2107,1.0,1.0,2,66.52,3.5044917e-18,1.0,1.0
679.6311,1105.5541,1753177.967301296,0.0049999994,0.005,0.005,0.85,300,,1001.0953054901979,1753177.967301296,200.00000010221265,1001.0953054901979,100,1001.0953054901979,300.0,828.153,1.0,1.0,2,101.05,2.179301e-19,1.0,1.0
-inf,0.8112655,2048245.469075364,0.0033333336,0.9998816,5.05303e-40,0.85,400,inf,156.1382727323739,260921.63690539516,,1113.304111948572,100,156.1382727323739,122792092.08594769,80.00709,1.8650931e+34,3.2575388e-06,,16.61,0.0033325418,5.594617e+36,0.0028273095
3284.8018,5644.7715,23504.34910105297,0.0025,0.93600786,,0.85,400,1127.9153,117.9289031598275,23504.34910105297,1.1406485052790734,117.9289031598275,100,117.9289031598275,2.1492552780940906,4717.428,1.7937452,186.11098,1,12.8,0.0021909631,671.5838,
1258.5197,1587.6676,2546149.9904547343,0.009999998,0.01,0.01,0.85,400,,1468.5617130257801,2546149.9904547343,100.0,1468.5617130257801,100,1468.5617130257801,400.0,1468.5616,1.0,1.0,2,147.76,3.5044917e-18,1.0,1.0
1167.1334,1530.763,2140425.7384412424,0.0049999994,0.005,0.005,0.85,400,,1162.7492015065668,2140425.7384412424,200.00000010221265,1162.7492015065668,100,1162.7492015065668,400.0,1315.6555,1.0,1.0,2,117.23,2.179301e-19,1.0,1.0
1191.5409,1569.4288,2730101.696216663,0.0033333336,0.0033333334,0.0033333334,0.85,400,,1307.115382548642,2730101.696216663,299.999969473632,1307.115382548642,100,1307.115382548642,400.0,1312.8087,1.0,1.0,2,131.59,5.4391416e-20,1.0,1.0
nan,nan,2865788.238576932,nan,nan,nan,0.85,500,nan,117.9289031598275,23504.34910105297,nan,1661.2548941946195,100,117.9289031598275,1223421347.6016097,nan,inf,4.0868994e-07,,12.8,nan,inf,0.0014890174
2587.619,14998.57,20673.679829604327,0.002,0.82329154,,0.85,500,688.98364,111.23543512031594,20673.679829604327,1.4529354428486283,111.23543512031594,100,111.23543512031594,1.5263548681907235,4287.62,1.4155976,327.57782,1,12.13,0.0013752745,582.72473,
1576.4976,1829.842,3382143.830404524,0.009999998,0.01,0.01,0.85,500,,1786.5394365382901,3382143.830404524,100.0,1786.5394365382901,100,1786.5394365382901,500.0,1786.5396,1.0,1.0,2,179.47,3.5044917e-18,1.0,1.0
1650.812,1827.2922,3362973.8085154486,0.0049999994,0.005,0.005,0.85,500,,1812.128840319413,3362973.8085154486,200.00000010221265,1812.128840319413,100,1812.128840319413,500.0,1799.3341,1.0,1.0,2,182.06,2.179301e-19,1.0,1.0
1697.5857,1793.7021,3001841.006512965,0.0033333336,0.0033333334,0.0033333334,0.85,500,,1857.892207423661,3001841.006512965,299.999969473632,1857.892207423661,100,1857.892207423661,500.0,1818.8535,1.0,1.0,2,186.64,5.4391416e-20,1.0,1.0
1716.4187,1789.5433,3189574.3009027415,0.0024999997,0.0025,0.0025,0.85,500,,1829.1988725359179,3189574.3009027415,400.0,1829.1988725359179,100,1829.1988725359179,500.0,1821.4397,1.0,1.0,2,183.78,5.434597e-20,1.0,1.0
4436.6743,812.93567,2712660.3527977103,0.002,0.105315104,2.2294586e-38,0.85,500,22.787336,1670.44683005563,2712660.3527977103,23.74379004604524,1670.44683005563,100,1670.44683005563,22.870020803776402,4875.885,1.0647969,21.862682,1,167.93,8.039335e-05,56.069595,1.1869602e-35
4766.407,131.47455,17460.160216600885,0.009999998,0.01,0.01,0.85,500,,4976.449420141992,17460.160216600885,100.0,4976.449420141992,100,4976.449420141992,500.0,4976.449,1.0,1.0,2,497.7,3.5044917e-18,1.0,1.0
4747.47,536.34753,550611.3775919367,0.0049999994,0.005,0.005,0.85,500,,4815.535353060884,550611.3775919367,200.00000010221265,4815.535353060884,100,4815.535353060884,500.0,4895.992,1.0,1.0,2,481.64,2.179301e-19,1.0,1.0
4729.845,677.06903,795802.7050442394,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4761.352526374032,795802.7050442394,299.999969473632,4761.352526374032,100,4761.352526374032,500.0,4851.113,1.0,1.0,2,476.22,5.4391416e-20,1.0,1.0
4717.5386,754.02325,898134.946670734,0.0024999997,0.0025,0.0025,0.85,500,,4736.900425147662,898134.946670734,400.0,4736.900425147662,100,4736.900425147662,500.0,4822.5596,1.0,1.0,2,473.79,5.434597e-20,1.0,1.0
4873.2944,75.228806,297920.2728837645,0.002,0.0054827156,8.46632e-06,0.85,500,0.5134321,4913.72092178968,297920.2728837645,342.41469336948944,4913.72092178968,100,4913.72092178968,336.03571174199453,4987.8755,1.0551765,1.4879371,1,491.42,1.84456e-06,2.8926163,0.004466731
4742.2656,339.21558,116229.5114604909,0.009999998,0.01,0.01,0.85,500,,4952.30767915235,116229.5114604909,100.0,4952.30767915235,100,4952.30767915235,500.0,4952.3076,1.0,1.0,2,495.26,3.5044917e-18,1.0,1.0
4810.7397,322.97745,94409.03091656612,0.0049999994,0.005,0.005,0.85,500,,4966.216255733307,94409.03091656612,200.00000010221265,4966.216255733307,100,4966.216255733307,500.0,4959.2617,1.0,1.0,2,496.65,2.179301e-19,1.0,1.0
4847.9126,271.40393,11879.987334397949,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4989.015321947932,11879.987334397949,299.999969473632,4989.015321947932,100,4989.015321947932,500.0,4969.18,1.0,1.0,2,498.92,5.4391416e-20,1.0,1.0
4865.737,260.47882,50895.73868816761,0.0024999997,0.0025,0.0025,0.85,500,,4975.491766949991,50895.73868816761,400.0,4975.491766949991,100,4975.491766949991,500.0,4970.758,1.0,1.0,2,497.58,5.434597e-20,1.0,1.0
4899.472,28.05857,0.014664257660955377,0.002,0.0028055059,0.0001264756,0.85,500,0.09724668,4999.887105335559,0.014664257660955377,455.1404865260652,4999.887105335559,100,4999.887105335559,461.1563829136902,4997.2817,0.9923114,1.0842309,1,500.0,3.9503794e-07,1.3919678,0.06275159
4789.8574,0.12913646,0.01684790665450921,0.009999998,0.01,0.01,0.85,500,,4999.899072120701,0.01684790665450921,100.0,4999.899072120701,100,4999.899072120701,500.0,4999.8994,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4850.4175,13.48574,365.5263184036297,0.0049999994,0.005,0.005,0.85,500,,4997.979660325596,365.5263184036297,200.00000010221265,4997.979660325596,100,4997.979660325596,500.0,4998.9395,1.0,1.0,2,499.82,2.179301e-19,1.0,1.0
4877.9883,11.020384,0.014770708231252991,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.889293577305,0.014770708231252991,299.999969473632,4999.889293577305,100,4999.889293577305,500.0,4999.256,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.386,9.548763,0.09523736127413472,0.0024999997,0.0025,0.0025,0.85,500,,4999.861033786849,0.09523736127413472,400.0,4999.861033786849,100,4999.861033786849,500.0,4999.407,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4903.7524,29.547956,20493.354222386628,0.002,0.0023711568,0.00084237265,0.85,500,0.0159521,4985.585643902917,20493.354222386628,492.04099997738535,4985.585643902917,100,4985.585643902917,493.09986500106453,4998.341,0.9920795,1.0139934,1,498.58,6.483133e-08,1.176188,0.41785032
4789.8486,0.109445296,0.012093764139185751,0.009999998,0.01,0.01,0.85,500,,4999.890862473044,0.012093764139185751,100.0,4999.890862473044,100,4999.890862473044,500.0,4999.8906,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4827.2124,340.67932,233290.64858755196,0.0049999994,0.005,0.005,0.85,500,,4951.579078834249,233290.64858755196,200.00000010221265,4951.579078834249,100,4951.579078834249,500.0,4975.7344,1.0,1.0,2,495.18,2.179301e-19,1.0,1.0
4862.524,278.3967,0.011810963774779491,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.903156305745,0.011810963774779491,299.999969473632,4999.903156305745,100,4999.903156305745,500.0,4983.7915,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4882.7964,241.19946,0.014084441575176956,0.0024999997,0.0025,0.0025,0.85,500,,4999.896024636808,0.014084441575176956,400.0,4999.896024636808,100,4999.896024636808,500.0,4987.8174,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4900.3564,40.155445,173094.5173423031,0.0019999999,0.0027251546,0.00020793479,0.85,500,0.07098297,4958.308451222946,173094.5173423031,467.71456925975457,4958.308451222946,100,4958.308451222946,468.33601354569873,4997.4136,1.0130457,1.0676095,1,495.85,2.7666624e-07,1.380353,0.10532372
4761.248,284.67938,81860.96188440661,0.009999998,0.01,0.01,0.85,500,,4971.290511213,81860.96188440661,100.0,4971.290511213,100,4971.290511213,500.0,4971.29,1.0,1.0,2,497.15,3.5044917e-18,1.0,1.0
4837.078,201.8067,0.007991917748259298,0.0049999994,0.005,0.005,0.85,500,,4999.910078996831,0.007991917748259298,200.00000010221265,4999.910078996831,100,4999.910078996831,500.0,4985.6,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4869.0884,164.91171,0.043802758099332546,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.865853621891,0.043802758099332546,299.999969473632,4999.865853621891,100,4999.865853621891,500.0,4990.356,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4887.723,142.87766,0.007534130381399457,0.0024999997,0.0025,0.0025,0.85,500,,4999.910155807328,0.007534130381399457,400.0,4999.910155807328,100,4999.910155807328,500.0,4992.744,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4903.078,39.416428,0.008146062234958427,0.0019999999,0.0025015878,0.00061584666,0.85,500,0.025563885,4999.913556469068,0.008146062234958427,487.60901986515404,4999.913556469068,100,4999.913556469068,488.14325000002907,4998.1455,1.0019876,1.0242895,1,500.0,1.0185027e-07,1.2532799,0.30853534
4789.856,0.09183128,0.008518005956873733,0.009999998,0.01,0.01,0.85,500,,4999.8982500639595,0.008518005956873733,100.0,4999.8982500639595,100,4999.8982500639595,500.0,4999.898,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.3823,0.087490425,0.006875630951098065,0.0049999994,0.005,0.005,0.85,500,,4999.910239076129,0.006875630951098065,200.00000010221265,4999.910239076129,100,4999.910239076129,500.0,4999.9043,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.637,0.10390928,0.017256829298002537,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.906300035995,0.017256829298002537,299.999969473632,4999.906300035995,100,4999.906300035995,500.0,4999.905,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.886,0.10444545,0.011285988732643694,0.0024999997,0.0025,0.0025,0.85,500,,4999.914656679614,0.011285988732643694,400.0,4999.914656679614,100,4999.914656679614,500.0,4999.907,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.9746,0.10283685,0.009328082583146354,0.0020000003,0.002,0.002,0.85,500,,4999.910103085326,0.009328082583146354,500.00000664260017,4999.910103085326,100,4999.910103085326,500.0,4999.908,1.0,1.0,1,500.0,5.431875e-20,1.0,1.0
4789.8687,0.092181385,0.008576495456877765,0.009999998,0.01,0.01,0.85,500,,4999.910691401356,0.008576495456877765,100.0,4999.910691401356,100,4999.910691401356,500.0,4999.9106,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.39,0.09148275,0.008322620241603176,0.0049999994,0.005,0.005,0.85,500,,4999.913368046372,0.008322620241603176,200.00000010221265,4999.913368046372,100,4999.913368046372,500.0,4999.912,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.642,0.09257405,0.008985243502128365,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.901522611346,0.008985243502128365,299.999969473632,4999.901522611346,100,4999.901522611346,500.0,4999.9097,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.8833,0.09932116,0.013658196496623495,0.0024999997,0.0025,0.0025,0.85,500,,4999.891030451613,0.013658196496623495,400.0,4999.891030451613,100,4999.891030451613,500.0,4999.9043,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.97,0.10047295,0.011113247928007927,0.0020000003,0.002,0.002,0.85,500,,4999.900160724746,0.011113247928007927,500.00000664260017,4999.900160724746,100,4999.900160724746,500.0,4999.904,1.0,1.0,1,500.0,5.431875e-20,1.0,1.0
4789.857,0.10743297,0.011661989612808898,0.009999998,0.01,0.01,0.85,500,,4999.899256876097,0.011661989612808898,100.0,4999.899256876097,100,4999.899256876097,500.0,4999.899,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.3843,0.10084423,0.008788366214675807,0.0049999994,0.005,0.005,0.85,500,,4999.91319229841,0.008788366214675807,200.00000010221265,4999.91319229841,100,4999.91319229841,500.0,4999.9062,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.641,0.09926678,0.00928807817983384,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.912485812012,0.00928807817983384,299.999969473632,4999.912485812012,100,4999.912485812012,500.0,4999.9087,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.883,0.097899675,0.008593382399312403,0.0024999997,0.0025,0.0025,0.85,500,,4999.889527475299,0.008593382399312403,400.0,4999.889527475299,100,4999.889527475299,500.0,4999.904,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.9746,0.09676124,0.008318308610559268,0.0020000003,0.002,0.002,0.85,500,,4999.920709920503,0.008318308610559268,500.00000664260017,4999.920709920503,100,4999.920709920503,500.0,4999.908,1.0,1.0,1,500.0,5.431875e-20,1.0,1.0
4789.88,0.10230939,0.010577765873487001,0.009999998,0.01,0.01,0.85,500,,4999.921693989688,0.010577765873487001,100.0,4999.921693989688,100,4999.921693989688,500.0,4999.922,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.392,0.10647942,0.01222231463425518,0.0049999994,0.005,0.005,0.85,500,,4999.907054463294,0.01222231463425518,200.00000010221265,4999.907054463294,100,4999.907054463294,500.0,4999.914,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.647,0.098000966,0.006196873136036343,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.916477860945,0.006196873136036343,299.999969473632,4999.916477860945,100,4999.916477860945,500.0,4999.9146,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.891,0.097542055,0.009250159896227916,0.0024999997,0.0025,0.0025,0.85,500,,4999.904444679865,0.009250159896227916,400.0,4999.904444679865,100,4999.904444679865,500.0,4999.912,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.9785,0.09901738,0.011070155065189857,0.002,0.0020004662,0.001999055,0.85,500,9.33465e-09,4999.908130131935,0.011070155065189857,499.99989932938,4999.908130131935,100,4999.908130131935,500.0,4999.912,1.0000013,1.0,1,500.0,3.733804e-14,1.0002345,0.9995289
4789.8667,0.10843583,0.011873147875029093,0.009999998,0.01,0.01,0.85,500,,4999.908653973555,0.011873147875029093,100.0,4999.908653973555,100,4999.908653973555,500.0,4999.9087,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.3813,0.11071335,0.012820581123091451,0.0049999994,0.005,0.005,0.85,500,,4999.897641422382,0.012820581123091451,200.00000010221265,4999.897641422382,100,4999.897641422382,500.0,4999.9033,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.6377,0.10188404,0.006676321947752569,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.908362321722,0.006676321947752569,299.999969473632,4999.908362321722,100,4999.908362321722,500.0,4999.9053,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.88,0.105788164,0.013553702120153326,0.0024999997,0.0025,0.0025,0.85,500,,4999.888443218718,0.013553702120153326,400.0,4999.888443218718,100,4999.888443218718,500.0,4999.901,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.97,0.10308644,0.008422300482291053,0.002,0.0020039417,0.0019918703,0.85,500,5.780623e-07,4999.912039312044,0.008422300482291053,499.9996947159276,4999.912039312044,100,4999.912039312044,499.9998211861296,4999.904,0.9999958,1.0000004,1,500.0,2.3122693e-12,1.0019667,0.9959311
4789.876,0.08325672,0.007000210933264508,0.009999998,0.01,0.01,0.85,500,,4999.918260018885,0.007000210933264508,100.0,4999.918260018885,100,4999.918260018885,500.0,4999.918,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.388,0.089981474,0.009223739444369671,0.0049999994,0.005,0.005,0.85,500,,4999.90191896046,0.009223739444369671,200.00000010221265,4999.90191896046,100,4999.90191896046,500.0,4999.91,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.6387,0.09116136,0.008730120769936484,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.898215113994,0.008730120769936484,299.999969473632,4999.898215113994,100,4999.898215113994,500.0,4999.9062,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.8877,0.091111615,0.008279854293774622,0.0024999997,0.0025,0.0025,0.85,500,,4999.916413012724,0.008279854293774622,400.0,4999.916413012724,100,4999.916413012724,500.0,4999.9087,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.1626,15.668315,2304.4790285376002,0.0019999999,0.0021286227,0.001366489,0.85,500,0.0026952266,4995.11280745026,2304.4790285376002,498.65491214112444,4995.11280745026,100,4995.11280745026,498.8008953504994,4999.209,0.9985741,1.002404,1,499.53,1.0811717e-08,1.0627937,0.6822702
4789.873,0.08582233,0.007436206425838796,0.009999998,0.01,0.01,0.85,500,,4999.915173751168,0.007436206425838796,100.0,4999.915173751168,100,4999.915173751168,500.0,4999.915,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.388,0.09098015,0.009248035894671693,0.0049999994,0.005,0.005,0.85,500,,4999.906114526341,0.009248035894671693,200.00000010221265,4999.906114526341,100,4999.906114526341,500.0,4999.91,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.6445,0.09010087,0.007873083265736344,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.913215271035,0.007873083265736344,299.999969473632,4999.913215271035,100,4999.913215271035,500.0,4999.912,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.891,0.094934374,0.011810188757277303,0.0024999997,0.0025,0.0025,0.85,500,,4999.913634244512,0.011810188757277303,400.0,4999.913634244512,100,4999.913634244512,500.0,4999.912,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.9785,0.09517937,0.009321063735961739,0.0020000003,0.002,0.002,0.85,500,,4999.908078852152,0.009321063735961739,500.00000664260017,4999.908078852152,100,4999.908078852152,500.0,4999.912,1.0,1.0,1,500.0,5.431875e-20,1.0,1.0
4789.854,0.15717624,0.024952340222438474,0.009999998,0.01,0.01,0.85,500,,4999.895641419921,0.024952340222438474,100.0,4999.895641419921,100,4999.895641419921,500.0,4999.896,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.381,0.1296416,0.008901103962554164,0.0049999994,0.005,0.005,0.85,500,,4999.909577390556,0.008901103962554164,200.00000010221265,4999.909577390556,100,4999.909577390556,500.0,4999.903,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.6387,0.1173024,0.007679075231913414,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.912120683598,0.007679075231913414,299.999969473632,4999.912120683598,100,4999.912120683598,500.0,4999.9062,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
4894.885,0.11225885,0.009224560250546281,0.0024999997,0.0025,0.0025,0.85,500,,4999.906033545916,0.009224560250546281,400.0,4999.906033545916,100,4999.906033545916,500.0,4999.906,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4905.9727,0.1100512,0.01025055068353109,0.0020000003,0.002,0.002,0.85,500,,4999.9065137204525,0.01025055068353109,500.00000664260017,4999.9065137204525,100,4999.9065137204525,500.0,4999.9062,1.0,1.0,1,500.0,5.431875e-20,1.0,1.0
4789.861,0.094771504,0.009068376212831361,0.009999998,0.01,0.01,0.85,500,,4999.902841063329,0.009068376212831361,100.0,4999.902841063329,100,4999.902841063329,500.0,4999.903,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.3804,0.090080015,0.007318536942752078,0.0049999994,0.005,0.005,0.85,500,,4999.901587657573,0.007318536942752078,200.00000010221265,4999.901587657573,100,4999.901587657573,500.0,4999.9023,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4874.7354,67.43506,13688.108120928031,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4988.205107605039,13688.108120928031,299.999969473632,4988.205107605039,100,4988.205107605039,500.0,4996.003,1.0,1.0,2,498.84,5.4391416e-20,1.0,1.0
4891.959,58.424988,0.008302788234458984,0.0024999997,0.0025,0.0025,0.85,500,,4999.910491556738,0.008302788234458984,400.0,4999.910491556738,100,4999.910491556738,500.0,4996.98,1.0,1.0,2,500.0,5.434597e-20,1.0,1.0
4904.774,16.021675,0.007239110929731656,0.0019999999,0.002208185,0.00061216985,0.85,500,0.010260186,4999.916021546485,0.007239110929731656,494.97499040891165,4999.916021546485,100,4999.916021546485,494.8916231681694,4999.191,1.0043057,1.0103222,1,500.0,4.0689596e-08,1.1088463,0.30740282
4789.8726,0.08804025,0.007829665489499905,0.009999998,0.01,0.01,0.85,500,,4999.914422379046,0.007829665489499905,100.0,4999.914422379046,100,4999.914422379046,500.0,4999.9146,1.0,1.0,2,500.0,3.5044917e-18,1.0,1.0
4851.3823,0.10278093,0.013306618252884842,0.0049999994,0.005,0.005,0.85,500,,4999.894273242174,0.013306618252884842,200.00000010221265,4999.894273242174,100,4999.894273242174,500.0,4999.9043,1.0,1.0,2,500.0,2.179301e-19,1.0,1.0
4878.638,0.09717715,0.0072672443314019935,0.0033333336,0.0033333334,0.0033333334,0.85,500,,4999.907019436093,0.0072672443314019935,299.999969473632,4999.907019436093,100,4999.907019436093,500.0,4999.906,1.0,1.0,2,500.0,5.4391416e-20,1.0,1.0
