VarDiscRet,AvgVanillaIw,AvgNormIw,J,Delta,VarJ,MinVanillaIw,MaxNormIw,VarVanillaIw,AvgRet,VanillaAvgRet,AvgEpLen,AvgDiscRet,MinNormIw,BatchSize,ESSClassic,VarRet,ESSRenyi,Bound,EpsThisIter,IterType,eRenyi2,MaxVanillaIw,VarNormIw
24805.661666,1.47296,0.01,-78.5226,0.9,40.2969,2.42897e-35,0.0816423,10.2575,-297.610369948,-297.610369948,366.19,-297.610369948,1.64904e-37,100,17.6039190178,24805.661666,12.0792734576,-118.532,100,1,8.27864,12.0256,0.000472783
7059.32427144,0.976424,0.01,-66.6945,0.9,19.8714,6.34721e-14,0.0424775,1.55334,-96.6362610556,-96.6362610556,132.75,-96.6362610556,6.50047e-16,100,38.2706512629,7059.32427144,38.3688651085,-89.1423,100,1,2.60628,4.1476,0.000162926
9075.2419391,1.57553e+11,0.01,-79.1906,0.9,0.00308387,0.241103,0.99998,2.48219e+24,-96.6362610556,-96.6362610556,132.75,-98.3900754562,1.5303e-14,200,1.00004019982,7059.32427144,nan,-inf,100,,nan,1.5755e+13,0.0099996
7869.82974697,0.793253,0.005,-68.4787,0.9,41.0988,,0.0667628,3.90835,-99.8867336561,-99.8867336561,136.86,-99.8867336561,,200,27.8549270345,7869.82974697,28.3466682779,-94.595,100,1,7.0555,10.592,0.000155278
5971.49990666,1.0,0.01,-86.782,0.9,76.8881,1.0,0.01,,-86.782030084,-86.782030084,120.06,-86.782030084,0.01,200,100.0,5971.49990666,200.0,-100.687,100,2,1.0,1.0,3.50449e-18
7072.48037263,0.929854,0.005,-82.3368,0.9,65.2963,0.0523324,0.0167984,0.379254,-90.0738100851,-90.0738100851,123.53,-90.0738100851,0.000281401,200,139.233119528,7072.48037263,136.309523036,-94.2465,100,1,1.46725,3.124,1.09658e-05
1383.66017554,1.0,0.01,-69.7959,0.9,37.0111,1.0,0.01,,-69.7958948365,-69.7958948365,100.33,-69.7958948365,0.01,200,100.0,1383.66017554,200.0,-83.6972,100,2,1.0,1.0,3.50449e-18
3736.57390365,1.09162,0.005,-70.2595,0.9,31.0747,0.00249667,0.0111745,0.538764,-79.4525297706,-79.4525297706,110.97,-79.4525297706,1.14356e-05,200,137.9440041,3736.57390365,131.142632602,-82.4009,100,1,1.52506,2.43965,1.13031e-05
6990.16175982,1.0,0.01,-91.8949,0.9,83.1881,1.0,0.01,,-91.8949519514,-91.8949519514,126.47,-91.8949519514,0.01,200,100.0,6990.16175982,200.0,-105.8,100,2,1.0,1.0,3.50449e-18
5991.4596604,6.93047,0.005,-74.9233,0.9,89.4545,0.409894,0.288966,1228.8,-79.4525297706,-79.4525297706,110.97,-85.9291178459,0.000295719,300,7.55993067869,3736.57390365,18.3737165614,-114.653,100,,16.3277,400.534,0.00063958
5981.17696655,0.999069,0.00333333,-74.0636,0.9,47.2123,0.00650778,0.0145977,0.60674,-87.6891373006,-87.6891373006,121.45,-87.6891373006,2.17128e-05,300,186.817417826,5981.17696655,195.910710924,-83.9977,100,1,1.53131,4.37524,6.75413e-06
3730.35692509,1.0,0.01,-79.0605,0.9,60.7705,1.0,0.01,,-79.0605588642,-79.0605588642,110.48,-79.0605588642,0.01,300,100.0,3730.35692509,300.0,-92.9653,100,2,1.0,1.0,3.50449e-18
5983.17135351,1.0,0.005,-82.9775,0.9,69.4517,1.0,0.005,,-86.8945003681,-86.8945003681,119.97,-86.8945003681,0.005,300,200.000000102,5983.17135351,300.0,-92.8096,100,2,1.0,1.0,2.1793e-19
4922.86616313,0.960186,0.00333333,-70.5912,0.9,64.9282,3.44827e-17,0.0411944,2.26691,-81.1032938744,-81.1032938744,112.57,-81.1032938744,1.19708e-19,300,86.9414380877,4922.86616313,104.363724763,-84.2022,100,1,2.87456,11.8663,2.732e-05
8178.97888713,1.0,0.01,-92.6154,0.9,89.9844,1.0,0.01,,-92.6154280955,-92.6154280955,126.42,-92.6154280955,0.01,300,100.0,8178.97888713,300.0,-106.52,100,2,1.0,1.0,3.50449e-18
6006.96800077,1.0,0.005,-88.7839,0.9,83.8852,1.0,0.005,,-84.9523565839,-84.9523565839,117.47,-84.9523565839,0.005,300,200.000000102,6006.96800077,300.0,-98.616,100,2,1.0,1.0,2.1793e-19
6061.23404848,9.7026e+13,0.00333333,-59.6313,0.9,0.296508,0.0842723,0.996299,2.8033e+30,-81.1032938744,-81.1032938744,112.57,-86.439561711,2.89518e-18,400,1.00743721488,4922.86616313,nan,-inf,100,,nan,2.90001e+16,0.00330864
11216.5716842,0.993222,0.0025,-81.0824,0.9,73.7268,1.37534e-12,0.014019,0.718372,-103.163704055,-103.163704055,138.41,-103.163704055,3.46183e-15,400,231.697446164,11216.5716842,213.194169074,-90.6055,100,1,1.87622,5.56958,4.55131e-06
2596.75450138,1.0,0.01,-75.1822,0.9,50.7029,1.0,0.01,,-75.182239362,-75.182239362,106.11,-75.182239362,0.01,400,100.0,2596.75450138,400.0,-89.0869,100,2,1.0,1.0,3.50449e-18
9179.27515306,1.0,0.005,-85.9521,0.9,77.1046,1.0,0.005,,-96.7219410534,-96.7219410534,131.13,-96.7219410534,0.005,400,200.000000102,9179.27515306,400.0,-95.7843,100,2,1.0,1.0,2.1793e-19
13266.9332679,1.0,0.00333333,-93.2126,0.9,91.9072,1.0,0.00333333,,-107.733615622,-107.733615622,143.29,-107.733615622,0.00333333,400,299.999969474,13266.9332679,400.0,-101.241,100,2,1.0,1.0,5.43914e-20
6042.11022596,1.81773e+09,0.0025,-68.8999,0.9,0.000157379,0.179547,0.999999,1.32165e+21,-103.163704055,-103.163704055,138.41,-84.8306301351,2.46938e-13,500,1.0000023435,11216.5716842,nan,-inf,100,,nan,7.27091e+11,0.00249999
6097.8526207,0.97713,0.002,-84.749,0.9,76.3169,0.236313,0.00606352,0.124413,-82.8888200776,-82.8888200776,114.57,-82.8888200776,0.000483688,500,442.460468476,6097.8526207,411.137106738,-91.6066,100,1,1.21614,2.96243,5.21218e-07
3714.90789615,1.0,0.01,-78.5736,0.9,60.6445,1.0,0.01,,-78.5736080022,-78.5736080022,110.5,-78.5736080022,0.01,500,100.0,3714.90789615,500.0,-92.478,100,2,1.0,1.0,3.50449e-18
4924.31990225,1.0,0.005,-79.3668,0.9,65.3991,1.0,0.005,,-80.1600065213,-80.1600065213,111.5,-80.1600065213,0.005,500,200.000000102,4924.31990225,500.0,-89.199,100,2,1.0,1.0,2.1793e-19
2572.19515456,1.0,0.00333333,-77.013,0.9,60.9202,1.0,0.00333333,,-72.3052463953,-72.3052463953,102.6,-72.3052463953,0.00333333,500,299.999969474,2572.19515456,500.0,-85.0409,100,2,1.0,1.0,5.43914e-20
7131.12148901,1.0,0.0025,-79.6935,0.9,67.6015,1.0,0.0025,,-87.7351133853,-87.7351133853,120.39,-87.7351133853,0.0025,500,400.0,7131.12148901,500.0,-86.6459,100,2,1.0,1.0,5.4346e-20
9219.79024734,1.00263,0.002,-81.2973,0.9,79.4791,0.000329598,0.00409246,0.363521,-96.7038421074,-96.7038421074,130.58,-96.7038421074,6.57468e-07,500,367.405424027,9219.79024734,365.52407857,-88.5702,100,1,1.3679,2.05161,1.44647e-06
3741.2694187,1.0,0.01,-76.5989,0.9,60.8593,1.0,0.01,,-76.5989211904,-76.5989211904,107.35,-76.5989211904,0.01,500,100.0,3741.2694187,500.0,-90.5037,100,2,1.0,1.0,3.50449e-18
4887.8882163,1.0,0.005,-78.8901,0.9,65.3963,1.0,0.005,,-81.1811926045,-81.1811926045,112.6,-81.1811926045,0.005,500,200.000000102,4887.8882163,500.0,-88.7222,100,2,1.0,1.0,2.1793e-19
7192.80558328,1.0,0.00333333,-81.6732,0.9,72.3895,1.0,0.00333333,,-87.2393807574,-87.2393807574,119.45,-87.2393807574,0.00333333,500,299.999969474,7192.80558328,500.0,-89.7011,100,2,1.0,1.0,5.43914e-20
9273.66701902,1.0,0.0025,-85.3578,0.9,79.159,1.0,0.0025,,-96.4115631293,-96.4115631293,130.08,-96.4115631293,0.0025,500,400.0,9273.66701902,500.0,-92.3101,100,2,1.0,1.0,5.4346e-20
3745.90758958,1.00378,0.002,-66.8428,0.9,50.486,4.6645e-11,0.0207712,4.17618,-77.8393226424,-77.8393226424,109.72,-77.8393226424,9.2939e-14,500,97.3419140586,3745.90758958,97.4696355523,-80.9269,100,1,5.1298,10.4248,1.65793e-05
10340.6982518,1.0,0.01,-97.2824,0.9,101.179,1.0,0.01,,-97.2823695184,-97.2823695184,131.27,-97.2823695184,0.01,500,100.0,10340.6982518,500.0,-111.187,100,2,1.0,1.0,3.50449e-18
6020.31235165,1.0,0.005,-91.5544,0.9,90.1749,1.0,0.005,,-85.8265066253,-85.8265066253,118.96,-85.8265066253,0.005,500,200.000000102,6020.31235165,500.0,-101.387,100,2,1.0,1.0,2.1793e-19
2597.25697367,1.0,0.00333333,-85.3412,0.9,79.7202,1.0,0.00333333,,-72.9148249562,-72.9148249562,102.74,-72.9148249562,0.00333333,500,299.999969474,2597.25697367,500.0,-93.3691,100,2,1.0,1.0,5.43914e-20
6003.75179999,1.0,0.0025,-85.2136,0.9,79.0725,1.0,0.0025,,-84.8305610465,-84.8305610465,117.33,-84.8305610465,0.0025,500,400.0,6003.75179999,500.0,-92.1659,100,2,1.0,1.0,5.4346e-20
134.646428445,0.980429,0.002,-75.1501,0.9,71.513,6.05333e-08,0.00852161,1.33276,-65.9472046673,-65.9472046673,95.25,-65.9472046673,1.23483e-10,500,209.755893275,134.646428445,209.908819895,-84.7474,100,1,2.38199,4.17742,5.54599e-06
6084.3587871,1.0,0.01,-82.5959,0.9,77.6113,1.0,0.01,,-82.595858814,-82.595858814,113.89,-82.595858814,0.01,500,100.0,6084.3587871,500.0,-96.4998,100,2,1.0,1.0,3.50449e-18
6041.99958489,1.0,0.005,-82.7446,0.9,77.4762,1.0,0.005,,-82.8932409489,-82.8932409489,114.79,-82.8932409489,0.005,500,200.000000102,6041.99958489,500.0,-92.5764,100,2,1.0,1.0,2.1793e-19
1374.74131569,1.0,0.00333333,-78.6702,0.9,66.9969,1.0,0.00333333,,-70.5213545412,-70.5213545412,100.76,-70.5213545412,0.00333333,500,299.999969474,1374.74131569,500.0,-86.6979,100,2,1.0,1.0,5.43914e-20
4890.05529365,1.0,0.0025,-79.1067,0.9,67.6557,1.0,0.0025,,-80.4164586858,-80.4164586858,111.86,-80.4164586858,0.0025,500,400.0,4890.05529365,500.0,-86.059,100,2,1.0,1.0,5.4346e-20
7118.95828814,0.995021,0.002,-78.4479,0.9,62.0517,0.674407,0.00915411,0.186096,-88.3879582192,-88.3879582192,121.2,-88.3879582192,0.00135556,500,421.021940351,7118.95828814,382.658208897,-85.556,100,1,1.30665,4.55427,7.51852e-07
1335.68029991,1.0,0.01,-66.9406,0.9,36.3638,1.0,0.01,,-66.9405936012,-66.9405936012,95.6,-66.9405936012,0.01,500,100.0,1335.68029991,500.0,-80.8423,100,2,1.0,1.0,3.50449e-18
6000.37076539,1.0,0.005,-76.3488,0.9,60.9907,1.0,0.005,,-85.7570090799,-85.7570090799,117.84,-85.7570090799,0.005,500,200.000000102,6000.37076539,500.0,-86.1808,100,2,1.0,1.0,2.1793e-19
6049.5069407,1.0,0.00333333,-78.927,0.9,67.004,1.0,0.00333333,,-84.0834918012,-84.0834918012,115.96,-84.0834918012,0.00333333,500,299.999969474,6049.5069407,500.0,-86.9549,100,2,1.0,1.0,5.43914e-20
11355.0415248,1.0,0.0025,-84.6765,0.9,79.2256,1.0,0.0025,,-101.924755957,-101.924755957,136.02,-101.924755957,0.0025,500,400.0,11355.0415248,500.0,-91.6288,100,2,1.0,1.0,5.4346e-20
4913.62675288,0.949031,0.002,-78.2808,0.9,74.0682,0.000713815,0.016497,0.944831,-80.9772915684,-80.9772915684,112.46,-80.9772915684,1.5043e-06,500,244.26638546,4913.62675288,238.620221968,-87.2822,100,1,2.09538,7.82808,4.19617e-06
9328.87092386,1.0,0.01,-93.7081,0.9,96.1019,1.0,0.01,,-93.7081077139,-93.7081077139,127.41,-93.7081077139,0.01,500,100.0,9328.87092386,500.0,-107.613,100,2,1.0,1.0,3.50449e-18
7166.38860985,1.0,0.005,-90.4634,0.9,90.4195,1.0,0.005,,-87.2187128869,-87.2187128869,120.01,-87.2187128869,0.005,500,200.000000102,7166.38860985,500.0,-100.296,100,2,1.0,1.0,2.1793e-19
9150.65579924,1.0,0.00333333,-92.7884,0.9,92.0922,1.0,0.00333333,,-97.4384342542,-97.4384342542,131.73,-97.4384342542,0.00333333,500,299.999969474,9150.65579924,500.0,-100.817,100,2,1.0,1.0,5.43914e-20
8188.25372198,1.0,0.0025,-92.7315,0.9,91.5824,1.0,0.0025,,-92.5606904073,-92.5606904073,126.17,-92.5606904073,0.0025,500,400.0,8188.25372198,500.0,-99.6845,100,2,1.0,1.0,5.4346e-20
7172.08095339,1.02733,0.002,-68.9337,0.9,41.5887,,0.0204395,5.69749,-87.753518683,-87.753518683,120.58,-87.753518683,,500,78.2772276668,7172.08095339,84.2076859943,-84.0876,100,1,5.9377,10.4991,2.15934e-05
3758.43690063,1.0,0.01,-76.6542,0.9,60.9988,1.0,0.01,,-76.6542475104,-76.6542475104,107.85,-76.6542475104,0.01,500,100.0,3758.43690063,500.0,-90.5588,100,2,1.0,1.0,3.50449e-18
2600.77255703,1.0,0.005,-75.1778,0.9,56.1248,1.0,0.005,,-73.7013840508,-73.7013840508,104.03,-73.7013840508,0.005,500,200.000000102,2600.77255703,500.0,-85.0098,100,2,1.0,1.0,2.1793e-19
11447.8257086,1.0,0.00333333,-83.1575,0.9,77.4928,1.0,0.00333333,,-99.1169798382,-99.1169798382,132.73,-99.1169798382,0.00333333,500,299.999969474,11447.8257086,500.0,-91.1854,100,2,1.0,1.0,5.43914e-20
7140.68193266,1.0,0.0025,-84.2276,0.9,79.2124,1.0,0.0025,,-87.4378584135,-87.4378584135,119.39,-87.4378584135,0.0025,500,400.0,7140.68193266,500.0,-91.18,100,2,1.0,1.0,5.4346e-20
3807.61618663,0.96551,0.002,-80.6169,0.9,74.9388,0.220231,0.00992609,0.391642,-76.8967668961,-76.8967668961,107.39,-76.8967668961,0.000456195,500,352.290772372,3807.61618663,350.812522949,-88.0407,100,1,1.42526,4.79187,1.68049e-06
8231.01137429,1.0,0.01,-91.4245,0.9,90.2702,1.0,0.01,,-91.424499943,-91.424499943,124.68,-91.424499943,0.01,500,100.0,8231.01137429,500.0,-105.329,100,2,1.0,1.0,3.50449e-18
4924.09163029,1.0,0.005,-85.9554,0.9,80.8807,1.0,0.005,,-80.4863795945,-80.4863795945,111.85,-80.4863795945,0.005,500,200.000000102,4924.09163029,500.0,-95.7876,100,2,1.0,1.0,2.1793e-19
7265.91631825,1.0,0.00333333,-85.6434,0.9,82.2136,1.0,0.00333333,,-85.01929511,-85.01929511,116.22,-85.01929511,0.00333333,500,299.999969474,7265.91631825,500.0,-93.6713,100,2,1.0,1.0,5.43914e-20
7198.25820253,1.0,0.0025,-85.7782,0.9,82.7703,1.0,0.0025,,-86.1825561546,-86.1825561546,118.28,-86.1825561546,0.0025,500,400.0,7198.25820253,500.0,-92.7306,100,2,1.0,1.0,5.4346e-20
6038.10545398,1.05373,0.002,-73.4659,0.9,79.0704,5.38764e-31,0.0114302,2.45409,-83.3124987848,-83.3124987848,115.2,-83.3124987848,1.02258e-33,500,155.969030027,6038.10545398,145.661157527,-84.987,100,1,3.43262,6.02218,8.84075e-06
10215.531583,1.0,0.01,-100.459,0.9,100.565,1.0,0.01,,-100.459341496,-100.459341496,135.38,-100.459341496,0.01,500,100.0,10215.531583,500.0,-114.364,100,2,1.0,1.0,3.50449e-18
1384.21293771,1.0,0.005,-85.2537,0.9,77.2857,1.0,0.005,,-70.0481566051,-70.0481566051,99.58,-70.0481566051,0.005,500,200.000000102,1384.21293771,500.0,-95.0859,100,2,1.0,1.0,2.1793e-19
7147.51980962,1.0,0.00333333,-86.2391,0.9,79.6409,1.0,0.00333333,,-88.2096443416,-88.2096443416,121.03,-88.2096443416,0.00333333,500,299.999969474,7147.51980962,500.0,-94.267,100,2,1.0,1.0,5.43914e-20
8231.07683108,1.0,0.0025,-87.5398,0.9,82.4577,1.0,0.0025,,-91.441889829,-91.441889829,125.1,-91.441889829,0.0025,500,400.0,8231.07683108,500.0,-94.4921,100,2,1.0,1.0,5.4346e-20
6001.86773348,0.86875,0.002,-70.5945,0.9,58.1035,6.96836e-28,0.0250797,3.85665,-85.5467593765,-85.5467593765,117.96,-85.5467593765,1.60423e-30,500,81.9702607752,6001.86773348,82.3387633716,-85.9182,100,1,6.07247,10.894,2.044e-05
4905.09154276,1.0,0.01,-81.5807,0.9,69.6853,1.0,0.01,,-81.5807071503,-81.5807071503,113.3,-81.5807071503,0.01,500,100.0,4905.09154276,500.0,-95.4854,100,2,1.0,1.0,3.50449e-18
4906.61478606,1.0,0.005,-80.3707,0.9,69.7012,1.0,0.005,,-79.1607880011,-79.1607880011,110.84,-79.1607880011,0.005,500,200.000000102,4906.61478606,500.0,-90.2029,100,2,1.0,1.0,2.1793e-19
3765.62718467,1.0,0.00333333,-79.3155,0.9,66.9606,1.0,0.00333333,,-77.2049519981,-77.2049519981,108.04,-77.2049519981,0.00333333,500,299.999969474,3765.62718467,500.0,-87.3434,100,2,1.0,1.0,5.43914e-20
4920.76629799,1.0,0.0025,-79.9263,0.9,67.689,1.0,0.0025,,-81.7589153133,-81.7589153133,113.74,-81.7589153133,0.0025,500,400.0,4920.76629799,500.0,-86.8787,100,2,1.0,1.0,5.4346e-20
2593.9772752,0.989672,0.002,-77.8028,0.9,61.2178,0.737706,0.00864886,0.113159,-74.7290440929,-74.7290440929,105.7,-74.7290440929,0.00149081,500,448.309051875,2593.9772752,435.925335165,-84.4626,100,1,1.14699,4.27977,4.62132e-07
9277.86243679,1.0,0.01,-95.1799,0.9,95.8388,1.0,0.01,,-95.1798730196,-95.1798730196,129.08,-95.1798730196,0.01,500,100.0,9277.86243679,500.0,-109.085,100,2,1.0,1.0,3.50449e-18
10264.0533966,1.0,0.005,-97.0977,0.9,98.3714,1.0,0.005,,-99.0154957427,-99.0154957427,133.89,-99.0154957427,0.005,500,200.000000102,10264.0533966,500.0,-106.93,100,2,1.0,1.0,2.1793e-19
179.809507911,1.0,0.00333333,-87.2895,0.9,81.872,1.0,0.00333333,,-67.6729643908,-67.6729643908,96.88,-67.6729643908,0.00333333,500,299.999969474,179.809507911,500.0,-95.3173,100,2,1.0,1.0,5.43914e-20
10409.1783755,1.0,0.0025,-89.4991,0.9,87.2822,1.0,0.0025,,-96.1281128474,-96.1281128474,129.54,-96.1281128474,0.0025,500,400.0,10409.1783755,500.0,-96.4515,100,2,1.0,1.0,5.4346e-20
4811.9524473,0.994154,0.002,-78.461,0.9,92.1267,3.88008e-12,0.014233,1.72076,-82.5260680194,-82.5260680194,114.99,-82.5260680194,7.80579e-15,500,182.643405516,4811.9524473,175.78876031,-88.9484,100,1,2.84432,7.07489,6.96423e-06
9137.52221408,1.0,0.01,-96.6323,0.9,95.1112,1.0,0.01,,-96.6322907391,-96.6322907391,131.15,-96.6322907391,0.01,500,100.0,9137.52221408,500.0,-110.537,100,2,1.0,1.0,3.50449e-18
8219.11471711,1.0,0.005,-93.9501,0.9,92.7293,1.0,0.005,,-91.2679769708,-91.2679769708,124.13,-91.2679769708,0.005,500,200.000000102,8219.11471711,500.0,-103.782,100,2,1.0,1.0,2.1793e-19
4935.43117166,1.0,0.00333333,-88.8033,0.9,86.1055,1.0,0.00333333,,-78.5096551442,-78.5096551442,108.7,-78.5096551442,0.00333333,500,299.999969474,4935.43117166,500.0,-96.8312,100,2,1.0,1.0,5.43914e-20
7173.56041742,1.0,0.0025,-88.3752,0.9,85.6541,1.0,0.0025,,-87.0910438353,-87.0910438353,119.8,-87.0910438353,0.0025,500,400.0,7173.56041742,500.0,-95.3276,100,2,1.0,1.0,5.4346e-20
3809.17310669,0.966408,0.002,-80.2959,0.9,88.0504,0.0232225,0.0406763,1.39756,-77.5100272575,-77.5100272575,108.74,-77.5100272575,4.80593e-05,500,200.528328715,3809.17310669,255.869035783,-88.9885,100,1,1.95412,19.655,5.98562e-06
8234.08898175,1.0,0.01,-90.4168,0.9,90.287,1.0,0.01,,-90.4168305783,-90.4168305783,123.49,-90.4168305783,0.01,500,100.0,8234.08898175,500.0,-104.321,100,2,1.0,1.0,3.50449e-18
6018.10192357,1.0,0.005,-87.4387,0.9,84.0458,1.0,0.005,,-84.4605778168,-84.4605778168,116.66,-84.4605778168,0.005,500,200.000000102,6018.10192357,500.0,-97.2708,100,2,1.0,1.0,2.1793e-19
3782.77272354,1.0,0.00333333,-83.7402,0.9,77.3615,1.0,0.00333333,,-76.3431616257,-76.3431616257,106.61,-76.3431616257,0.00333333,500,299.999969474,3782.77272354,500.0,-91.7681,100,2,1.0,1.0,5.43914e-20
2602.29184556,1.0,0.0025,-81.0727,0.9,71.7915,1.0,0.0025,,-73.0700768149,-73.0700768149,102.86,-73.0700768149,0.0025,500,400.0,2602.29184556,500.0,-88.025,100,2,1.0,1.0,5.4346e-20
10330.4711932,1.0394,0.002,-81.7098,0.9,73.6892,0.281555,0.0132559,0.393328,-97.8740055479,-97.8740055479,131.24,-97.8740055479,0.000541763,500,366.745304428,10330.4711932,365.091178264,-88.987,100,1,1.36952,6.88911,1.45629e-06
4885.92096035,1.0,0.01,-82.2487,0.9,69.549,1.0,0.01,,-82.2486919427,-82.2486919427,114.04,-82.2486919427,0.01,500,100.0,4885.92096035,500.0,-96.1533,100,2,1.0,1.0,3.50449e-18
4912.88826902,1.0,0.005,-81.8371,0.9,69.6461,1.0,0.005,,-81.4256027947,-81.4256027947,113.28,-81.4256027947,0.005,500,200.000000102,4912.88826902,500.0,-91.6693,100,2,1.0,1.0,2.1793e-19
8163.23167201,1.0,0.00333333,-85.7045,0.9,77.1848,1.0,0.00333333,,-93.4392313434,-93.4392313434,127.06,-93.4392313434,0.00333333,500,299.999969474,8163.23167201,500.0,-93.7324,100,2,1.0,1.0,5.43914e-20
7165.68645864,1.0,0.0025,-86.1816,0.9,79.0083,1.0,0.0025,,-87.6130729333,-87.6130729333,119.66,-87.6130729333,0.0025,500,400.0,7165.68645864,500.0,-93.134,100,2,1.0,1.0,5.4346e-20
6041.6681069,1.06994,0.002,-68.7092,0.9,49.0764,5.64476e-22,0.0176786,4.60388,-83.3375397186,-83.3375397186,115.1,-83.3375397186,1.05516e-24,500,99.7283964765,6041.6681069,102.132301662,-82.468,100,1,4.89561,9.45752,1.60866e-05
8173.0001891,1.0,0.01,-93.7138,0.9,89.9515,1.0,0.01,,-93.7137850551,-93.7137850551,127.6,-93.7137850551,0.01,500,100.0,8173.0001891,500.0,-107.619,100,2,1.0,1.0,3.50449e-18
1410.84541859,1.0,0.005,-82.458,0.9,69.7904,1.0,0.005,,-71.202274863,-71.202274863,101.44,-71.202274863,0.005,500,200.000000102,1410.84541859,500.0,-92.2902,100,2,1.0,1.0,2.1793e-19
6053.17342087,1.0,0.00333333,-83.0739,0.9,72.4254,1.0,0.00333333,,-84.3056050234,-84.3056050234,116.96,-84.3056050234,0.00333333,500,299.999969474,6053.17342087,500.0,-91.1018,100,2,1.0,1.0,5.43914e-20
3746.98861809,1.0,0.0025,-82.0029,0.9,69.7488,1.0,0.0025,,-78.7899943185,-78.7899943185,110.45,-78.7899943185,0.0025,500,400.0,3746.98861809,500.0,-88.9553,100,2,1.0,1.0,5.4346e-20
