AvgRet,BatchSize,VarVanillaIw,SamplesThisIter,MaxVanillaIw,delta,ESSRenyi,Bound,VanillaAvgRet,IterType,AvgEpLen,renyi2,AvgNormIw,AvgVanillaIw,VarJ,AvgDiscRet,VarNormIw,ESSClassic,MaxNormIw,EpsThisIter,VarDiscRet,J,MinVanillaIw,MinNormIw,VarRet
-406.614899727,100,0.0344461,50000,1.65767,0.4,44.4065981686,-456.546,-406.614899727,1,500.0,0.811782,5.55556e-05,1.00608,166.198,-406.614899727,1.05034e-10,1.09894731627,9.15359e-05,100,99.887976596,-72931.5,0.361765,1.99765e-05,99.887976596
-297.743707189,100,342.248,50000,126.462,0.4,nan,-167.205,-297.743707189,1,378.787878788,nan,4.20875e-05,6.46054,2243.4,-297.743707189,1.45248e-08,1.70296998617,0.000823845,132,21723.7829515,-20223.3,,,21723.7829515
-406.162785924,100,0.013937,50000,1.3725,0.4,1.5455898416,-456.559,-406.162785924,1,500.0,4.16976,5.55556e-05,0.99147,101.475,-406.162785924,4.37589e-11,0.691369899639,7.69059e-05,100,50.4843483772,-72997.0,0.478531,2.68138e-05,50.4843483772
-405.482995147,100,0.0784938,50000,2.06096,0.4,nan,-454.281,-405.482995147,1,500.0,nan,5.55555e-05,1.01724,285.995,-405.482995147,2.34125e-10,0.810979728724,0.000112558,100,224.586068152,-72403.2,0.232383,1.26914e-05,224.586068152
-369.682230015,100,inf,50000,1.76972e+19,0.4,nan,-204.43,-369.682230015,1,450.45045045,nan,5.00501e-05,2.08681e+16,1767.96,-369.682230015,1.76648e-06,6.16793990106,0.042445,111,11576.7831807,-26485.0,,,11576.7831807
-411.89634755,100,0.00337387,50000,1.23272,0.4,0.001460291036,-462.73,-411.89634755,1,500.0,11.1343,5.55556e-05,0.988793,47.9737,-411.89634755,1.06506e-11,0.65074275427,6.92607e-05,100,12.8818795974,-74113.1,0.825784,4.63969e-05,12.8818795974
-303.006923742,100,954.864,50000,561.493,0.4,nan,-153.316,-303.006923742,1,375.939849624,nan,4.17711e-05,8.86736,1581.92,-303.006923742,2.11887e-08,1.94936875696,0.002645,133,24054.2347493,-19384.0,,,24054.2347493
-407.000310333,100,0.329779,50000,14.5915,0.4,nan,-442.36,-407.000310333,1,495.04950495,nan,5.50055e-05,0.847664,3011.0,-407.000310333,1.38864e-09,0.885627890281,0.000946851,101,1345.39206766,-70420.3,7.553e-06,4.90119e-10,1345.39206766
-333.3560116,100,6.99974e+06,50000,121059.0,0.4,nan,-180.354,-333.3560116,1,409.836065574,nan,4.55373e-05,115.874,1658.6,-333.3560116,1.08105e-06,12.4858834846,0.047575,122,17839.1725587,-22610.6,,,17839.1725587
-389.743141492,100,2.3603,50000,21.7462,0.4,nan,-402.511,-389.743141492,1,490.196078431,nan,5.44662e-05,0.932177,3259.68,-389.743141492,8.05796e-09,0.43158004176,0.00127061,102,2542.49545702,-61068.1,7.42267e-16,4.337e-20,2542.49545702
-307.198940593,100,3183.46,50000,1003.67,0.4,nan,-142.977,-307.198940593,1,381.679389313,nan,4.24088e-05,14.9335,1571.68,-307.198940593,2.56737e-08,1.776886955,0.00285028,131,24104.6132537,-14540.9,,,24104.6132537
-363.058047369,100,inf,50000,3.74624e+19,0.4,nan,-226.263,-363.058047369,1,454.545454545,nan,5.05051e-05,1.91075e+16,1807.56,-363.058047369,4.95005e-06,9.99949654482,0.099021,110,9669.0176241,-27035.7,,,9669.0176241
-389.469308735,100,60.6826,50000,268.963,0.4,nan,-360.152,-389.469308735,1,485.436893204,nan,5.39374e-05,1.26387,3029.51,-389.469308735,1.1052e-07,0.924269452082,0.0114784,103,3620.68501548,-49753.9,,,3620.68501548
-289.969463146,100,690885.0,50000,40432.1,0.4,nan,-148.19,-289.969463146,1,378.787878788,nan,4.20875e-05,31.8009,1683.57,-289.969463146,1.21014e-06,9.95791057016,0.0535108,132,21116.3527393,-14811.2,,,21116.3527393
-298.661504789,100,102.125,50000,113.387,0.4,nan,-178.238,-298.661504789,1,375.939849624,nan,4.17711e-05,3.67135,1955.36,-298.661504789,1.322e-08,1.92066746785,0.00129008,133,19842.3639461,-28848.4,,,19842.3639461
-362.229369481,100,27642.2,50000,4481.58,0.4,nan,nan,-362.229369481,1,450.45045045,nan,5.00501e-05,26.0436,nan,-362.229369481,1.02089e-07,11.3308233306,0.00861261,111,8511.48482133,nan,,,8511.48482133
-320.506411247,100,46257.1,50000,7778.4,0.4,nan,nan,-320.506411247,1,400.0,nan,4.44444e-05,26.5545,nan,-320.506411247,1.2958e-07,11.8353431952,0.0130188,125,16274.7928997,nan,,,16274.7928997
-272.964579002,100,320.347,50000,419.758,0.4,nan,-147.921,-272.964579002,1,349.65034965,nan,3.885e-05,6.44552,1352.68,-272.964579002,1.16382e-08,2.46856016035,0.00253007,143,23710.5141715,-18311.7,,,23710.5141715
-350.591838882,100,644.673,50000,241.303,0.4,nan,-282.616,-350.591838882,1,446.428571429,nan,4.96032e-05,7.01366,1273.66,-350.591838882,3.22456e-08,1.61009423609,0.00170658,112,9095.88038794,-38005.1,,,9095.88038794
-354.30259464,100,inf,50000,1.96806e+19,0.4,nan,-203.102,-354.30259464,1,442.477876106,nan,4.91642e-05,1.01027e+16,1968.34,-354.30259464,4.51151e-06,9.99118867883,0.0957747,113,12731.8300931,-26513.9,,,12731.8300931
-351.41548667,100,2086.76,50000,628.889,0.4,nan,nan,-351.41548667,1,442.477876106,nan,4.91642e-05,9.70808,nan,-351.41548667,5.35185e-08,1.13484800744,0.00318486,113,10030.4428895,nan,,,10030.4428895
-300.463016617,100,213.88,50000,237.365,0.4,nan,-167.23,-300.463016617,1,378.787878788,nan,4.20875e-05,4.9619,1732.71,-300.463016617,1.5388e-08,1.34491648005,0.00201336,132,21457.6489185,-22296.5,,,21457.6489185
-267.912424986,100,120.841,50000,85.73,0.4,nan,-148.498,-267.912424986,1,344.827586207,nan,3.83142e-05,4.35674,1459.33,-267.912424986,9.34566e-09,2.42335290411,0.000753929,145,23790.4887341,-18848.6,,,23790.4887341
-317.982040953,100,25981.5,50000,3294.46,0.4,nan,-176.115,-317.982040953,1,400.0,nan,4.44444e-05,28.8843,1601.58,-317.982040953,6.15143e-08,5.94258168729,0.00506921,125,18418.995836,-22656.5,,,18418.995836
-279.815754429,100,291.073,50000,200.668,0.4,nan,-156.81,-279.815754429,1,354.609929078,nan,3.94011e-05,6.46386,1561.1,-279.815754429,1.08152e-08,8.15572586952,0.00122319,141,22183.0098424,-21252.0,,,22183.0098424
-231.728441347,100,81.327,50000,129.142,0.4,nan,-127.176,-231.728441347,1,292.397660819,nan,3.24886e-05,4.19956,1511.56,-231.728441347,4.86731e-09,5.21535376005,0.000999064,171,26221.2245516,-18357.0,,,26221.2245516
-321.554683654,100,9702.98,50000,1628.13,0.4,nan,-194.05,-321.554683654,1,403.225806452,nan,4.48029e-05,18.5049,1718.91,-321.554683654,5.6878e-08,1.65136190257,0.00394193,124,17456.6113638,-25071.7,,,17456.6113638
-376.620083552,100,59.778,50000,272.001,0.4,nan,-290.989,-376.620083552,1,476.19047619,nan,5.29101e-05,1.41705,2401.7,-376.620083552,8.33386e-08,1.90962028788,0.010156,105,5899.92947747,-43711.6,,,5899.92947747
-237.937293146,100,46.3962,50000,100.518,0.4,nan,-140.447,-237.937293146,1,304.87804878,nan,3.38753e-05,3.41116,1437.24,-237.937293146,4.57556e-09,3.37676719319,0.000998214,164,25012.7644703,-20426.5,,,25012.7644703
-267.807099469,100,111.917,50000,86.5567,0.4,nan,-168.003,-267.807099469,1,352.112676056,nan,3.91236e-05,4.08046,1527.68,-267.807099469,1.02886e-08,1.43585450301,0.000829911,142,19696.0255395,-23190.8,,,19696.0255395
-241.011664055,100,132.201,50000,203.591,0.4,nan,-131.545,-241.011664055,1,310.559006211,nan,3.45066e-05,4.96631,1544.07,-241.011664055,6.38219e-09,3.83905031191,0.00141458,161,24186.2252588,-18972.8,,,24186.2252588
-282.163259869,100,5.65432e+06,50000,116370.0,0.4,nan,-178.845,-282.163259869,1,375.939849624,nan,4.17711e-05,55.9511,1534.56,-282.163259869,3.15148e-06,9.99949790288,0.0868774,133,16052.9322372,-24553.4,,,16052.9322372
-272.77547929,100,310.891,50000,367.898,0.4,nan,-132.339,-272.77547929,1,337.837837838,nan,3.75375e-05,5.79955,1786.74,-272.77547929,1.30242e-08,10.2947766617,0.00238122,148,28359.4083142,-20014.4,,,28359.4083142
-262.836899603,100,218.582,50000,461.278,0.4,nan,-152.046,-262.836899603,1,349.65034965,nan,3.885e-05,5.20539,1531.01,-262.836899603,1.21757e-08,4.3177869878,0.00344272,143,20974.7999861,-22082.6,,,20974.7999861
-225.663305114,100,57.2012,50000,165.145,0.4,nan,-134.88,-225.663305114,1,294.117647059,nan,3.26797e-05,3.15167,1457.01,-225.663305114,6.15009e-09,2.87882405263,0.00171239,170,22328.6690007,-19707.3,,,22328.6690007
-246.127357899,100,144.527,50000,198.762,0.4,nan,-136.221,-246.127357899,1,320.512820513,nan,3.56125e-05,5.00521,1474.58,-246.127357899,7.31661e-09,4.80844939955,0.00141421,156,23484.1881401,-21353.6,,,23484.1881401
-251.421082668,100,40.2097,50000,43.721,0.4,nan,nan,-251.421082668,1,324.675324675,nan,3.6075e-05,2.99373,nan,-251.421082668,5.83876e-09,2.29553377558,0.000526847,154,24452.0574088,nan,,,24452.0574088
-188.508881331,100,17.4937,50000,34.1653,0.4,nan,-106.45,-188.508881331,1,250.0,nan,2.77778e-05,2.5261,1391.45,-188.508881331,2.11533e-09,6.03271924145,0.000375692,200,25265.3295235,-16672.2,,,25265.3295235
-263.850165275,100,244.84,50000,137.735,0.4,nan,-151.772,-263.850165275,1,344.827586207,nan,3.83142e-05,5.35332,1703.45,-263.850165275,1.25417e-08,2.14730062381,0.000985781,145,20748.9630272,-22240.2,,,20748.9630272
-244.455123937,100,47.9268,50000,82.7009,0.4,nan,-144.807,-244.455123937,1,316.455696203,nan,3.51617e-05,2.98424,1594.06,-244.455123937,6.65352e-09,2.97979974244,0.000974422,158,23434.6691337,-23456.0,,,23434.6691337
-164.694874883,100,9.63792,50000,20.0485,0.4,nan,-111.828,-164.694874883,1,219.298245614,nan,2.43665e-05,2.02838,1252.27,-164.694874883,1.39082e-09,6.21271429686,0.000240838,228,19455.6327591,-17104.5,,,19455.6327591
-151.887574058,100,3.02796,50000,19.8112,0.4,nan,-101.164,-151.887574058,1,202.429149798,nan,2.24921e-05,1.43303,1126.13,-151.887574058,7.45931e-10,5.33610268204,0.000310946,247,20683.3460005,-15306.7,,,20683.3460005
-169.895425598,100,7.11941,50000,21.7121,0.4,nan,-108.385,-169.895425598,1,226.244343891,nan,2.51383e-05,1.91092,1305.74,-169.895425598,1.23206e-09,4.89287505948,0.000285625,221,21180.6357508,-17350.7,,,21180.6357508
-186.425751587,100,19.9028,50000,42.7932,0.4,nan,-108.59,-186.425751587,1,246.305418719,nan,2.73673e-05,2.33611,1493.98,-186.425751587,2.73143e-09,3.71609668598,0.000501316,203,23077.4386314,-16646.9,,,23077.4386314
-203.697356132,100,17.1191,50000,55.4524,0.4,nan,-111.294,-203.697356132,1,263.157894737,nan,2.92398e-05,2.20429,1687.74,-203.697356132,3.01225e-09,2.51627257251,0.000735573,190,27322.4861323,-17908.6,,,27322.4861323
-119.503015568,100,1.64896,50000,8.91523,0.4,nan,-95.8979,-119.503015568,1,160.77170418,nan,1.78635e-05,1.35244,881.291,-119.503015568,2.87678e-10,5.00762622019,0.000117755,311,13346.6252165,-14327.9,,,13346.6252165
-164.19452196,100,5.19147,50000,13.1962,0.4,nan,-110.655,-164.19452196,1,226.244343891,nan,2.51383e-05,1.71768,1161.91,-164.19452196,1.11193e-09,5.56828672961,0.000193126,221,19615.6154579,-16835.9,,,19615.6154579
-124.974864243,100,1.47658,50000,13.8085,0.4,nan,-93.4918,-124.974864243,1,168.918918919,nan,1.87688e-05,1.24906,1010.61,-124.974864243,3.33396e-10,4.22050390656,0.000207491,296,16662.0790755,-14135.3,,,16662.0790755
-98.2444477446,100,0.526287,50000,5.31352,0.4,nan,-95.9343,-98.2444477446,1,138.121546961,nan,1.53468e-05,1.08227,629.418,-98.2444477446,1.05826e-10,3.81001336993,7.53472e-05,362,7139.52568571,-13874.2,1.42982e-13,2.02753e-18,7139.52568571
-106.368966609,100,1.45385,50000,9.46157,0.4,nan,-86.8168,-106.368966609,1,148.367952522,nan,1.64853e-05,1.23404,885.353,-106.368966609,2.59453e-10,3.87994078225,0.000126396,337,11276.8660335,-12653.4,3.98299e-32,5.32082e-37,11276.8660335
-96.9380738994,100,0.592399,50000,7.85311,0.4,nan,-86.7699,-96.9380738994,1,137.362637363,nan,1.52625e-05,1.08036,774.257,-96.9380738994,1.1823e-10,4.93002332452,0.000110943,364,10228.1964882,-12679.0,1.72393e-15,2.43543e-20,10228.1964882
-90.4148165321,100,0.450771,50000,7.54305,0.4,nan,-87.7402,-90.4148165321,1,126.582278481,nan,1.40647e-05,0.998531,632.262,-90.4148165321,8.94322e-11,4.46913207495,0.000106247,395,7872.90656057,-12507.7,9.62894e-13,1.35627e-17,7872.90656057
-98.8747432121,100,0.645165,50000,6.04977,0.4,nan,-90.0437,-98.8747432121,1,140.056022409,nan,1.55618e-05,1.07952,708.477,-98.8747432121,1.3407e-10,4.24981172426,8.72105e-05,357,8842.1128475,-13094.1,,,8842.1128475
-69.986565662,100,0.1945,50000,3.68966,0.4,nan,-81.9774,-69.986565662,1,100.60362173,nan,1.11782e-05,0.998874,384.244,-69.986565662,2.4358e-11,4.05628613476,4.12902e-05,497,2780.70939612,-11211.5,7.03694e-07,7.87488e-12,2780.70939612
-84.2081542837,100,0.392412,50000,6.66921,0.4,nan,-86.6665,-84.2081542837,1,121.065375303,nan,1.34517e-05,1.04424,549.478,-84.2081542837,6.51173e-11,4.56567740746,8.59115e-05,413,5479.94160697,-12221.9,1.44101e-08,1.85628e-13,5479.94160697
-62.2937414534,100,0.149347,50000,6.13959,0.4,6.19687751626e-16,-75.6868,-62.2937414534,1,91.0746812386,39.6225,1.01194e-05,1.01409,212.975,-62.2937414534,1.48714e-11,4.71562842924,6.12657e-05,549,316.457851687,-10699.8,0.011841,1.18159e-07,316.457851687
-77.5409891828,100,0.336446,50000,5.04409,0.4,nan,-83.5937,-77.5409891828,1,111.35857461,nan,1.23732e-05,1.01838,432.883,-77.5409891828,4.96661e-11,4.32777469818,6.12851e-05,449,4431.88361486,-11534.4,3.16186e-17,3.84162e-22,4431.88361486
-60.9396226081,100,0.0931696,50000,2.47416,0.4,4.4081795133e-16,-76.5019,-60.9396226081,1,88.809946714,39.9631,9.86777e-06,1.01762,217.043,-60.9396226081,8.76082e-12,4.69270710615,2.39918e-05,563,523.760731442,-10570.8,0.0114923,1.1144e-07,523.760731442
-65.5441994258,100,0.192893,50000,3.80559,0.4,3.97603714042e-16,-81.3134,-65.5441994258,1,95.785440613,40.0662,1.06428e-05,1.03657,294.273,-65.5441994258,2.03347e-11,4.64332957376,3.90735e-05,522,851.065229121,-10982.5,0.00787025,8.08069e-08,851.065229121
-64.5918342591,100,0.0904889,50000,2.4009,0.4,7.20338174228e-16,-82.8759,-64.5918342591,1,94.5179584121,39.472,1.0502e-05,0.999531,175.887,-64.5918342591,9.98955e-12,3.50093455341,2.52261e-05,529,293.237672998,-11261.9,0.0181526,1.90728e-07,293.237672998
-63.2967073568,100,0.10811,50000,2.59802,0.4,1.85315374053e-15,-80.3618,-63.2967073568,1,92.2509225092,38.5271,1.02501e-05,0.991724,217.514,-63.2967073568,1.15489e-11,4.2682733693,2.68522e-05,542,485.190229758,-10823.3,0.0119219,1.2322e-07,485.190229758
-68.1772024892,100,0.176542,50000,3.39853,0.4,nan,-81.6575,-68.1772024892,1,98.0392156863,nan,1.08932e-05,1.01168,336.805,-68.1772024892,2.04681e-11,3.96086875946,3.65936e-05,510,2651.85493754,-11071.1,4.90392e-06,5.28029e-11,2651.85493754
-61.1683763819,100,0.461054,50000,9.60236,0.4,1.37211283491e-15,-66.9363,-61.1683763819,1,89.928057554,38.8276,9.99201e-06,1.04687,199.624,-61.1683763819,4.20021e-11,4.13219956597,9.1651e-05,556,184.60921008,-10266.4,0.00187862,1.79308e-08,184.60921008
